Default channel group,Data driven path attributed conversions,Conversions,Purchase revenue,Days to conversion,Touchpoints to conversion
"[""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,114,4292.396763,24.21052632,7
"[""Paid Video"",""Paid Search"",""Organic Search"",""Organic Search""]",NaN,114,5249.997373,3.412280702,4
"[""Organic Search"",""Organic Search"",""Cross-network"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,114,6929.995132,21.59649123,9
"[""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Cross-network"",""Paid Search""]",NaN,114,25773.97993,25,20
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search""]",NaN,113,119.997328,45.60176991,10
"[""Cross-network"",""Cross-network"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,113,3819.996918,22.54867257,8
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Cross-network"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,113,6727.989393,4.601769912,20
"[""Organic Social"",""Organic Social"",""Organic Social"",""Cross-network""]",NaN,113,31862.47748,40.80530973,4
"[""Paid Video"",""Paid Video"",""Paid Video"",""Paid Search""]",NaN,112,0,21.23214286,4
"[""Cross-network"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,112,0,34.57142857,10
"[""Unassigned"",""Unassigned"",""Unassigned"",""Cross-network""]",NaN,112,2700.000045,39.51785714,4
"[""Paid Search"",""Paid Video"",""Paid Video"",""Cross-network"",""Paid Video"",""Cross-network"",""Paid Video""]",NaN,112,24999.9864,32,7
"[""Cross-network"",""Paid Search"",""Paid Search"",""Cross-network"",""Paid Search"",""Paid Search""]",NaN,111,149.999487,38.64864865,6
"[""Paid Search"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video""]",NaN,111,200.000004,8.810810811,6.216216216
"[""Cross-network"",""Cross-network"",""Paid Search"",""Organic Search"",""Organic Search"",""Paid Search""]",NaN,111,6999.991745,49.42342342,6
"[""Display"",""Paid Video"",""Paid Video""]",NaN,110,0,64.83636364,3
"[""Paid Search"",""Paid Search"",""Unassigned""]",NaN,110,7179.999604,25.67272727,3
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Paid Search""]",NaN,110,10879.99269,30.60909091,7
"[""Cross-network"",""Paid Search"",""Paid Search"",""Paid Video""]",NaN,109,0,29.86238532,4
"[""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Cross-network""]",NaN,109,879.998613,33.53211009,7
"[""Cross-network"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search""]",NaN,108,0,24.55555556,6
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Cross-network"",""Paid Search"",""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,108,7769.99946,1,20
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,108,10499.99675,25.39814815,20
"[""Unassigned"",""Organic Search"",""Organic Search""]",NaN,107,0,0.009345794,3.028037383
"[""Cross-network"",""Referral"",""Referral"",""Referral""]",NaN,107,0,17.70093458,4
"[""Display"",""Display"",""Display"",""Cross-network"",""Cross-network""]",NaN,107,0,61.60747664,5
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Cross-network"",""Cross-network""]",NaN,107,3139.996228,45.38317757,11
"[""Organic Video"",""Referral"",""Referral""]",NaN,107,3731.889704,1.23364486,3.168224299
"[""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Referral"",""Cross-network""]",NaN,107,5249.997299,82.36448598,6
"[""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Video"",""Paid Search"",""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Paid Search""]",NaN,107,5459.995941,70.30841121,18
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Cross-network"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,107,5677.994336,4.747663551,20
"[""Paid Video"",""Paid Video"",""Paid Video"",""Organic Video"",""Organic Video""]",NaN,106,0,6.594339623,5
"[""Unassigned"",""Unassigned"",""Unassigned"",""Paid Other""]",NaN,106,0,30.02830189,4
"[""Paid Search"",""Paid Search"",""Paid Search"",""Organic Search"",""Paid Search""]",NaN,106,1239.999765,18.8490566,5
"[""Organic Search"",""Organic Search"",""Cross-network"",""Cross-network"",""Cross-network""]",NaN,106,1319.999312,25.85849057,5
"[""Paid Search"",""Paid Search"",""Paid Search"",""Organic Search""]",NaN,106,2279.998702,18.90566038,4.113207547
"[""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email""]",NaN,106,3089.994704,16.28301887,20
"[""Display"",""Display"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Paid Search"",""Paid Search""]",NaN,106,7769.989144,75.83018868,15
"[""Paid Video"",""Paid Video"",""Paid Video"",""Organic Video"",""Organic Video"",""Organic Video""]",NaN,105,0,7.076190476,6
"[""Paid Search"",""Paid Search"",""Paid Search"",""Referral"",""Referral"",""Paid Search""]",NaN,105,1103.999694,27.36190476,6
"[""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Referral"",""Referral""]",NaN,105,11015.48801,0.504761905,9
"[""Cross-network"",""Cross-network"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Paid Video"",""Paid Video"",""Paid Search""]",NaN,105,12599.99319,25,10
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Email"",""Email""]",NaN,104,0,0.990384615,6
"[""Cross-network"",""Paid Video"",""Organic Video"",""Organic Video""]",NaN,104,0,37.36538462,4
"[""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search""]",NaN,104,1816.099861,12.45192308,7.201923077
"[""Cross-network"",""Paid Video"",""Organic Search"",""Organic Search""]",NaN,104,2299.998898,46.89423077,4
"[""Cross-network"",""Paid Search"",""Organic Search"",""Organic Search"",""Paid Search""]",NaN,104,4881.799816,41.79807692,5
"[""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Paid Video"",""Cross-network""]",NaN,103,0,39.37864078,10
"[""Cross-network"",""Cross-network"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,103,1199.999802,41.66019417,7
"[""Cross-network"",""Display"",""Display"",""Paid Search""]",NaN,103,2219.999694,32.95145631,4
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Referral""]",NaN,103,11988.60659,7.339805825,6.40776699
"[""Organic Video"",""Organic Video"",""Paid Video""]",NaN,102,0,8.950980392,3
"[""Paid Video"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,102,0,10.64705882,20
"[""Paid Search"",""Paid Search"",""Paid Video"",""Organic Social"",""Organic Social"",""Organic Search"",""Organic Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,102,251.999237,59,14
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Cross-network""]",NaN,102,1049.999141,28.89215686,9
"[""Unassigned"",""Unassigned"",""Paid Other"",""Paid Other"",""Paid Other""]",NaN,101,0,28.75247525,5
"[""Paid Video"",""Paid Video"",""Paid Video"",""Paid Video"",""Paid Video"",""Paid Video"",""Paid Video"",""Paid Video""]",NaN,101,119.998957,5.425742574,8
"[""Cross-network"",""Display"",""Display"",""Display""]",NaN,101,1300.000091,22.01980198,4
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search""]",NaN,101,11502.81434,37.25742574,8
"[""Referral"",""Referral"",""Organic Search""]",NaN,101,31719.99019,2.257425743,5.168316832
"[""Organic Social"",""Organic Social"",""Paid Search"",""Paid Search"",""Paid Search"",""Cross-network"",""Paid Video"",""Paid Search""]",NaN,100,3299.998279,72,8
"[""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral""]",NaN,100,10593.83585,2.24,5.5
"[""Paid Other"",""Paid Other"",""Paid Other"",""Paid Other"",""Paid Other"",""Paid Other"",""Paid Other"",""Paid Other"",""Paid Other"",""Paid Other"",""Paid Other"",""Paid Other""]",NaN,99,0,6.080808081,12
"[""Cross-network"",""Cross-network"",""Display"",""Display""]",NaN,99,0,31.38383838,4
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Paid Search""]",NaN,99,0,35.55555556,20
"[""Paid Search"",""Paid Search"",""Paid Search"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network""]",NaN,99,0,37.48484848,7
"[""Paid Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video""]",NaN,99,199.998608,1.828282828,9
"[""Cross-network"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video""]",NaN,99,320.290596,9.404040404,7
"[""Paid Search"",""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Paid Search""]",NaN,99,1379.999203,13.39393939,7
"[""Paid Search"",""Organic Social"",""Organic Social""]",NaN,99,2111.998992,32.72727273,3.272727273
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Cross-network"",""Paid Search"",""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,99,6299.99597,1,20
"[""Cross-network"",""Organic Search"",""Organic Search"",""Paid Video""]",NaN,98,2414.998335,63.81632653,4
"[""Paid Search"",""Cross-network"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,98,3150.000146,34.81632653,5
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Cross-network"",""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,98,3230.397356,60.34693878,15
"[""Cross-network"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video""]",NaN,97,0,7.340206186,20
"[""Organic Video"",""Organic Video"",""Cross-network""]",NaN,97,0,43.11340206,3
"[""Display"",""Display"",""Display"",""Display"",""Display"",""Paid Search""]",NaN,97,0,47.7628866,6
"[""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Paid Search""]",NaN,97,3645.043023,24.41237113,7
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Video"",""Cross-network""]",NaN,97,4667.997713,41.8556701,5
"[""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",NaN,97,6799.531274,17.72164948,18.92783505
"[""Paid Search"",""Cross-network"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,96,2759.999013,35.55208333,6
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Cross-network"",""Paid Search""]",NaN,96,7559.997182,75.38541667,6
"[""Paid Search"",""Cross-network"",""Cross-network"",""Organic Search"",""Organic Search""]",NaN,96,21414.99207,39.69791667,5
"[""Paid Search"",""Cross-network"",""Paid Search"",""Paid Search"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network""]",NaN,95,0,14.92631579,10
"[""Cross-network"",""Cross-network"",""Cross-network"",""Organic Search""]",NaN,95,239.99971,10.64210526,4
"[""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,95,3983.993999,44.44210526,13
"[""Paid Search"",""Display"",""Paid Search"",""Paid Search""]",NaN,95,4239.999677,39.71578947,4
"[""Display"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,95,6149.997373,34.22105263,6
"[""Paid Search"",""Unassigned""]",NaN,94,0,41.4787234,2
"[""Paid Search"",""Paid Search"",""Paid Video"",""Paid Video""]",NaN,94,699.999603,35.60638298,4
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Cross-network""]",NaN,94,1772.00004,7.053191489,5
"[""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,94,2059.997683,49.17021277,6
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Video"",""Cross-network"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Cross-network"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,94,2164.994897,6.553191489,17
"[""Paid Search"",""Paid Search"",""Paid Video"",""Paid Search"",""Paid Search""]",NaN,94,2899.999751,25.65957447,5
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search""]",NaN,94,5039.998729,70.89361702,9
"[""Paid Search"",""Display"",""Paid Search"",""Display"",""Paid Search"",""Display"",""Paid Search"",""Display""]",NaN,93,0,0.827956989,8
"[""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Cross-network""]",NaN,93,0,32.23655914,5
"[""Display"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network""]",NaN,93,0,53.07526882,6
"[""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Paid Search"",""Paid Search""]",NaN,93,3660.255304,39.19354839,6
"[""Paid Search"",""Paid Search"",""Display""]",NaN,93,8479.999111,49.66666667,3
"[""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social""]",NaN,91,519.99969,34.18681319,14.30769231
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Video""]",NaN,91,1679.99947,65.2967033,7
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Paid Search"",""Cross-network""]",NaN,91,2199.998384,53.97802198,7
"[""Organic Search"",""Organic Search"",""Organic Search"",""Referral""]",NaN,91,2537.080229,6.978021978,6.285714286
"[""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social""]",NaN,91,10934.38543,22.97802198,16.52747253
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network""]",NaN,90,0,24.6,13
"[""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video""]",NaN,90,599.755311,2.311111111,15.66666667
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Cross-network""]",NaN,90,999.996453,33.6,14
"[""Email"",""Email"",""Email"",""Email"",""Email"",""Organic Social""]",NaN,90,1199.999229,80.13333333,6
"[""Display"",""Display"",""Display"",""Display"",""Display"",""Display"",""Display""]",NaN,89,129.84519,37.46067416,7
"[""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Organic Search"",""Organic Search""]",NaN,89,2909.997598,22.8988764,7
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Cross-network"",""Paid Search"",""Paid Search"",""Paid Search"",""Cross-network"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,89,4031.998,12,20
"[""Organic Search"",""Organic Search"",""Organic Search"",""Cross-network"",""Paid Search"",""Paid Search"",""Paid Search"",""Cross-network"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,89,4415.995192,10,20
"[""Paid Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Paid Video""]",NaN,88,0,17.09090909,6
"[""Paid Video"",""Cross-network"",""Paid Video"",""Cross-network""]",NaN,88,0,24.04545455,4
"[""Paid Video"",""Email"",""Email""]",NaN,88,689.999524,11.75,3
"[""Organic Video"",""Organic Video"",""Cross-network"",""Cross-network"",""Cross-network"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Cross-network"",""Cross-network"",""Paid Video"",""Cross-network""]",NaN,88,839.997052,18.15909091,16
"[""Paid Search"",""Paid Search"",""Email"",""Email"",""Email"",""Email""]",NaN,88,879.999263,48.47727273,6
"[""Organic Search"",""Organic Search"",""Paid Search"",""Paid Video""]",NaN,88,1169.998802,38.56818182,4
"[""Cross-network"",""Cross-network"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Cross-network"",""Cross-network"",""Cross-network""]",NaN,88,2288.998595,74.40909091,18
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network""]",NaN,88,2595.23647,29.34090909,13
"[""Organic Search"",""Organic Search"",""Organic Search"",""Display"",""Display""]",NaN,88,2801.62019,76.85227273,5
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Organic Search"",""Organic Search""]",NaN,88,10149.98885,19.36363636,8.363636364
"[""Paid Search"",""Paid Search"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network""]",NaN,87,0,17.82758621,10
"[""Paid Video"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,87,0,24.57471264,8
"[""Cross-network"",""Paid Video"",""Organic Video"",""Organic Video"",""Organic Video""]",NaN,87,0,33.55172414,5
"[""Organic Video"",""Organic Video"",""Organic Video"",""Paid Search""]",NaN,87,519.999976,19.71264368,4.091954023
"[""Cross-network"",""Paid Search"",""Paid Video"",""Paid Video""]",NaN,87,2559.963807,47.37931034,4
"[""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Cross-network"",""Paid Search"",""Paid Search"",""Paid Search"",""Cross-network"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,87,4415.995192,10,20
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Organic Search"",""Organic Search"",""Referral"",""Organic Search"",""Referral"",""Referral"",""Organic Search"",""Organic Search""]",NaN,86,0,0.558139535,20
"[""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Paid Video""]",NaN,86,0,13.40697674,10
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Organic Search"",""Organic Search""]",NaN,86,479.999896,26.56976744,8.953488372
"[""Cross-network"",""Organic Search"",""Organic Search"",""Paid Search"",""Paid Search""]",NaN,86,1440.00001,38.6627907,5
"[""Cross-network"",""Cross-network"",""Cross-network"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,86,1589.997562,31.48837209,9
"[""Display"",""Cross-network"",""Cross-network"",""Paid Search""]",NaN,86,2185.547896,79.37209302,4
"[""Cross-network"",""Paid Search"",""Cross-network"",""Cross-network"",""Cross-network""]",NaN,86,2479.997663,59.70930233,5
"[""Organic Social"",""Organic Social"",""Cross-network"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Cross-network""]",NaN,86,19261.9504,73.23255814,8
"[""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,85,0,25.64705882,10.70588235
"[""Paid Search"",""Paid Search"",""Paid Search"",""Cross-network"",""Cross-network"",""Cross-network""]",NaN,85,2199.998754,20.56470588,6
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Video"",""Paid Search""]",NaN,85,3150.000408,24.05882353,5
"[""Cross-network"",""Cross-network"",""Organic Video""]",NaN,84,0,42.16666667,3
"[""Paid Search"",""Paid Search"",""Cross-network"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,84,1099.999097,29.86904762,7
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Video"",""Paid Video""]",NaN,84,2099.998629,74.21428571,6
"[""Email"",""Email"",""Email"",""Email"",""Paid Search""]",NaN,84,2557.998984,32.26190476,5
"[""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search""]",NaN,84,2559.999099,24.96428571,8
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search""]",NaN,84,2999.99465,53.52380952,13
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,84,4415.999027,11.25,20
"[""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Referral"",""Referral""]",NaN,84,6306.996669,0.845238095,6.142857143
"[""Paid Search"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video""]",NaN,84,7007.278526,10.30952381,8.416666667
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral"",""Referral""]",NaN,84,32199.97459,4,20
"[""Paid Search"",""Paid Search"",""Cross-network"",""Paid Search"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network""]",NaN,83,0,14.84337349,10
"[""Display"",""Cross-network"",""Display""]",NaN,83,0,50.15662651,3
"[""Organic Search"",""Organic Search"",""Email"",""Email""]",NaN,82,0,23.85365854,4
"[""Paid Video"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,82,0,25.08536585,10
"[""Cross-network"",""Paid Search"",""Organic Search"",""Organic Search"",""Cross-network""]",NaN,82,359.999295,58.37804878,5
"[""Paid Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,82,1751.999083,28.09756098,7
"[""Organic Search"",""Organic Search"",""Cross-network"",""Paid Search"",""Paid Search""]",NaN,82,3349.998236,60.5,5
"[""Cross-network"",""Paid Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Paid Search""]",NaN,82,4275.259085,59.92682927,6
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Paid Search""]",NaN,82,4319.999096,30.20731707,8
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Cross-network"",""Cross-network"",""Cross-network""]",NaN,82,4739.991618,51.19512195,12
"[""Cross-network"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Cross-network"",""Cross-network"",""Paid Search""]",NaN,82,7349.985224,19,14
